network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_fragmented-packets,network_fragmentation-score,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ips_src_count,network_ips_dst_count,network_ips_all_count,network_macs_src_count,network_macs_dst_count,network_macs_all_count,network_ports_src_count,network_ports_dst_count,network_ports_all_count,network_protocols_src_count,network_protocols_dst_count,network_protocols_all_count,network_packets_all_count,network_packets_src_count,network_packets_dst_count,network_interval-packets,log_messages_count,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,timeDurationInSeconds,label,label2
63,64,62,1.0000169495834652,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321716,0.676312172,0,0.014055564,2,2,2,0,0,0,0,0,0,1,1,1,29500,14750,14750,3108.335228,29500,0,0,0,0,0,10,attack_dos,attack
62.999876998769984,64,61,1.0002459949000246,20,20,20,0,0,0,28.00541205412054,60,28,0.3790169071698742,28.00541205412054,60,28,0.3790169071698742,0.01573835,64,0,1.0035589333033552,0.002705029,20,0,0.2228743084652668,1,0,0,1,1,0,7.898684372,64240,0,712.3282137310134,0.1795155539161441,1460,0,16.18927758479576,0,0,0,0,0.001093201,5.254203887,0,0.060932732,3,3,3,0,0,0,2,2,2,3,3,3,8133,4065,4065,914.7451956084752,8133,0,0,0,0,0,10,attack_dos,attack
62.67567567567568,64,62,0.949157996,20,20,20,0,0,0,41.32432432432432,44,40,1.888800563,41.32432432432432,44,40,1.888800563,42.810810810810814,64,0,30.22080901129712,8.081081081,20,2,7.186072615806191,50,0,0,50,98,0,21441.547297297297,64240,0,30212.81498,483.3783783783784,1460,0,689.4122055702156,0,0,0,0,0.032503144,0.099751146,0,0.045671609,2,3,3,0,0,0,50,51,51,1,1,1,148,98,98,30.76625433659286,148,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.000022563940569,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039985,0.763602153,0,0.008879446,2,2,2,0,0,0,0,0,0,1,1,1,22160,11080,11080,2500.9407311732225,22160,0,0,0,0,0,10,attack_dos,attack
1,1,1,,24,24,24,,0,0,36,36,36,,36,36,36,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,10,attack_dos,attack
62.85714285714285,64,62,1.0690449676496976,20,20,20,0,0,0,40.57142857142857,44,40,1.5118578920369086,40.57142857142857,44,40,1.5118578920369086,36.57142857142857,64,0,34.20943896479032,9.714285714285714,20,2,9.050124966251124,3,0,0,3,4,0,9396.571429,64240,0,24185.03376647869,208.57142857142856,1460,0,551.8281305934718,0,0,0,0,1.414040755,9.896496257,0,3.740411328598329,2,2,2,0,0,0,5,5,5,1,1,1,7,4,4,0.707193205,7,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.0093898773656798,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.30047607570175,11,20,2,9.084508896291116,27,0,0,27,27,0,256,512,0,258.4038086,0,0,0,0,0,0,0,0,0.097157989,0.56419132,-6.30E-08,0.1938967867983332,2,2,2,0,0,0,4,4,4,1,1,1,54,27,27,10.29251423322882,54,0,0,0,0,0,10,attack_dos,attack
62.66346153846154,64,61,0.9614973852316596,20,20,20,0,0,0,41.5,60,40,2.625491169951852,41.5,60,40,2.625491169951852,41.48148148148148,64,0,30.70556023850406,7.7592592592592595,20,0,7.232933984602265,35,0,0,35,69,0,20979.703703703704,64240,0,30094.888628407443,473.14814814814815,1460,0,686.5063227079806,0,0,0,0,0.062368745,2.185629519,0,0.2411831613606916,3,3,3,0,0,0,37,37,37,2,2,2,108,68,69,16.033671696429177,108,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.0110500592068734,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1065395063043478,0.660599371,0,0.176000056,2,2,2,0,0,0,0,0,0,1,1,1,46,23,23,9.386189343416206,46,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5297058540778354,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325759211,1.051078038,0,0.365984689,2,2,2,0,0,0,0,0,0,1,1,1,26,13,13,3.069752049998393,26,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.5322617553657476,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.68825078113595,11,20,2,9.193570532194483,12,0,0,12,12,0,256,512,0,261.5060062490876,0,0,0,0,0,0,0,0,0.13430105,0.650890873,0,0.2673156939071334,2,2,2,0,0,0,3,3,3,1,1,1,24,12,12,7.445958358735504,24,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500091785222665,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.001958084750186,11,20,2,9.000550711,4086,0,0,4086,4086,0,256,512,0,256.0156646780015,0,0,0,0,0,0,0,0,0.00095956,0.669357643,-0.000299841,0.019865771,2,2,2,0,0,0,1019,1019,1019,1,1,1,8172,4086,4086,1042.1442154301008,8172,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.500030675787604,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.00065441680222,11,20,2,9.000184054725624,12225,0,0,12225,12225,0,256,512,0,256.00523533441776,0,0,0,0,0,0,0,0,0.000339971,0.405310385,-0.000370134,0.007743207,2,2,2,0,0,0,1020,1020,1020,1,1,1,24450,12225,12225,2941.4313375876272,24450,0,0,0,0,0,10,attack_dos,attack
62.490544894242895,64,1,1.6672689955928193,20.000560302563382,24,20,0.047341422,0,0,40.00168090769015,44,36,0.1058527058506723,40.00168090769015,44,36,0.1058527058506723,32.01344726152122,64,0,32.00223862008655,10.993416444880236,20,0,8.998946815599284,3567,0,0,3567,3571,0,291.81453985151984,64240,0,1535.7079463207365,0.8180417425409722,1460,0,34.55197504597112,0,0,0,0,0.001391123,5.074521393,-0.000250864,0.065988446,3,3,4,0,0,0,1025,1025,1025,2,2,2,7139,3571,3571,718.8437923512853,7139,0,0,0,0,0,10,attack_dos,attack
