network_ttl_avg,network_ttl_max,network_ttl_min,network_ttl_std_deviation,network_header-length_avg,network_header-length_max,network_header-length_min,network_header-length_std_deviation,network_fragmented-packets,network_fragmentation-score,network_ip-length_avg,network_ip-length_max,network_ip-length_min,network_ip-length_std_deviation,network_packet-size_avg,network_packet-size_max,network_packet-size_min,network_packet-size_std_deviation,network_ip-flags_avg,network_ip-flags_max,network_ip-flags_min,network_ip-flags_std_deviation,network_tcp-flags_avg,network_tcp-flags_max,network_tcp-flags_min,network_tcp-flags_std_deviation,network_tcp-flags-ack_count,network_tcp-flags-fin_count,network_tcp-flags-psh_count,network_tcp-flags-rst_count,network_tcp-flags-syn_count,network_tcp-flags-urg_count,network_window-size_avg,network_window-size_max,network_window-size_min,network_window-size_std_deviation,network_mss_avg,network_mss_max,network_mss_min,network_mss_std_deviation,network_payload-length_avg,network_payload-length_max,network_payload-length_min,network_payload-length_std_deviation,network_time-delta_avg,network_time-delta_max,network_time-delta_min,network_time-delta_std_deviation,network_ips_src_count,network_ips_dst_count,network_ips_all_count,network_macs_src_count,network_macs_dst_count,network_macs_all_count,network_ports_src_count,network_ports_dst_count,network_ports_all_count,network_protocols_src_count,network_protocols_dst_count,network_protocols_all_count,network_packets_all_count,network_packets_src_count,network_packets_dst_count,network_interval-packets,log_messages_count,log_data-ranges_avg,log_data-ranges_max,log_data-ranges_min,log_data-ranges_std_deviation,log_data-types_count,timeDurationInSeconds,label,label2
63,64,62,1.00001695,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000321716,0.676312172,0,0.014055564,2,2,2,0,0,0,0,0,0,1,1,1,29500,14750,14750,3108.335228,29500,0,0,0,0,0,10,attack_dos,attack
62.999877,64,61,1.000245995,20,20,20,0,0,0,28.00541205,60,28,0.379016907,28.00541205,60,28,0.379016907,0.01573835,64,0,1.003558933,0.002705029,20,0,0.222874308,1,0,0,1,1,0,7.898684372,64240,0,712.3282137,0.179515554,1460,0,16.18927758,0,0,0,0,0.001093201,5.254203887,0,0.060932732,3,3,3,0,0,0,2,2,2,3,3,3,8133,4065,4065,914.7451956,8133,0,0,0,0,0,10,attack_dos,attack
62.67567568,64,62,0.949157996,20,20,20,0,0,0,41.32432432,44,40,1.888800563,41.32432432,44,40,1.888800563,42.81081081,64,0,30.22080901,8.081081081,20,2,7.186072616,50,0,0,50,98,0,21441.5473,64240,0,30212.81498,483.3783784,1460,0,689.4122056,0,0,0,0,0.032503144,0.099751146,0,0.045671609,2,3,3,0,0,0,50,51,51,1,1,1,148,98,98,30.76625434,148,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.000022564,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00039985,0.763602153,0,0.008879446,2,2,2,0,0,0,0,0,0,1,1,1,22160,11080,11080,2500.940731,22160,0,0,0,0,0,10,attack_dos,attack
1,1,1,,24,24,24,,0,0,36,36,36,,36,36,36,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,2,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,10,attack_dos,attack
62.85714286,64,62,1.069044968,20,20,20,0,0,0,40.57142857,44,40,1.511857892,40.57142857,44,40,1.511857892,36.57142857,64,0,34.20943896,9.714285714,20,2,9.050124966,3,0,0,3,4,0,9396.571429,64240,0,24185.03377,208.5714286,1460,0,551.8281306,0,0,0,0,1.414040755,9.896496257,0,3.740411329,2,2,2,0,0,0,5,5,5,1,1,1,7,4,4,0.707193205,7,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.009389877,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.30047608,11,20,2,9.084508896,27,0,0,27,27,0,256,512,0,258.4038086,0,0,0,0,0,0,0,0,0.097157989,0.56419132,-6.30E-08,0.193896787,2,2,2,0,0,0,4,4,4,1,1,1,54,27,27,10.29251423,54,0,0,0,0,0,10,attack_dos,attack
62.66346154,64,61,0.961497385,20,20,20,0,0,0,41.5,60,40,2.62549117,41.5,60,40,2.62549117,41.48148148,64,0,30.70556024,7.759259259,20,0,7.232933985,35,0,0,35,69,0,20979.7037,64240,0,30094.88863,473.1481481,1460,0,686.5063227,0,0,0,0,0.062368745,2.185629519,0,0.241183161,3,3,3,0,0,0,37,37,37,2,2,2,108,68,69,16.0336717,108,0,0,0,0,0,10,attack_dos,attack
63,64,62,1.011050059,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106539506,0.660599371,0,0.176000056,2,2,2,0,0,0,0,0,0,1,1,1,46,23,23,9.386189343,46,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.529705854,20,20,20,0,0,0,28,28,28,0,28,28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.325759211,1.051078038,0,0.365984689,2,2,2,0,0,0,0,0,0,1,1,1,26,13,13,3.06975205,26,0,0,0,0,0,10,attack_dos,attack
62.5,64,61,1.532261755,20,20,20,0,0,0,40,40,40,0,40,40,40,0,32,64,0,32.68825078,11,20,2,9.193570532,12,0,0,12,12,0,256,512,0,261.5060062,0,0,0,0,0,0,0,0,0.13430105,0.650890873,0,0.267315694,2,2,2,0,0,0,3,3,3,1,1,1,24,12,12,7.445958359,24,0,0,0,0,0,10,attack_dos,attack
